sample_id,scenario_id,source_video_id,split,clip_type,corruption_type,severity_level,severity_name,severity_value,is_clean,gshi,weather,time_of_day,scene_type,traffic_level,fps,resolution,num_frames,output_path,extra_json,gshi_gt,gshi_pred,pred_top1_issue,pred_top1_prob,pred_presence_json,pred_severity_json,pred_present_thresh_json
S01_clean,S01,video_018,dev,clean,clean,0,s0,0.0,1,1.0,cloudy,day,urban,moderate,30,1280x720,128,clean_clips/S01_clean.mp4,{},1.000000,0.221905,compression,0.999958,"{""haze_fog"":0.11758,""rain"":0.048621,""snow"":0.001077,""low_light"":0.0,""motion_blur"":0.0,""defocus_blur"":0.005905,""glare_flare"":0.636146,""vignetting"":1.2e-05,""sensor_noise"":0.0,""exposure_shift"":0.955242,""compression"":0.999958,""lens_occlusion"":0.081918}","{""haze_fog"":0.098547,""rain"":0.150285,""snow"":0.049777,""low_light"":0.026395,""motion_blur"":0.007582,""defocus_blur"":0.010365,""glare_flare"":0.479515,""vignetting"":0.086941,""sensor_noise"":0.001181,""exposure_shift"":0.240721,""compression"":0.046631,""lens_occlusion"":0.219739}","[{""issue"":""compression"",""prob"":0.999958},{""issue"":""exposure_shift"",""prob"":0.955242},{""issue"":""glare_flare"",""prob"":0.636146}]"
S01_fog_s1,S01,video_018,dev,corrupted,fog,1,s1,0.08,0,-1.0,cloudy,day,urban,moderate,30,1280x720,128,corrupted/fog/s1/S01_fog_s1.mp4,"{""mask_mean"":0.2692030966281891,""severity"":0.08,""k"":0.896,""gamma"":0.7,""depth_shift"":0.3,""distance_exp"":1.5,""t_min"":0.25,""contrast_scale"":0.95,""darken_factor"":0.88,""blur_kernel"":5,""A"":[0.3829718828201294,0.4031282961368561,0.42328470945358276],""depth_min"":0.0,""depth_max"":1.0}",0.911980,0.073822,compression,0.999978,"{""haze_fog"":0.117366,""rain"":0.002037,""snow"":0.027711,""low_light"":0.0,""motion_blur"":0.032476,""defocus_blur"":0.037266,""glare_flare"":0.003274,""vignetting"":1.9e-05,""sensor_noise"":0.066515,""exposure_shift"":0.994418,""compression"":0.999978,""lens_occlusion"":0.025021}","{""haze_fog"":0.136185,""rain"":0.35403,""snow"":0.19203,""low_light"":0.026681,""motion_blur"":0.08128,""defocus_blur"":0.159787,""glare_flare"":0.173735,""vignetting"":0.025741,""sensor_noise"":0.065144,""exposure_shift"":0.474472,""compression"":0.596362,""lens_occlusion"":0.139976}","[{""issue"":""compression"",""prob"":0.999978},{""issue"":""exposure_shift"",""prob"":0.994418}]"
S01_fog_s2,S01,video_018,dev,corrupted,fog,2,s2,0.18,0,-1.0,cloudy,day,urban,moderate,30,1280x720,128,corrupted/fog/s2/S01_fog_s2.mp4,"{""mask_mean"":0.29732248187065125,""severity"":0.18,""k"":1.016,""gamma"":0.7,""depth_shift"":0.3,""distance_exp"":1.5,""t_min"":0.25,""contrast_scale"":0.95,""darken_factor"":0.88,""blur_kernel"":5,""A"":[0.4085544943809509,0.4300573766231537,0.45156025886535645],""depth_min"":0.0,""depth_max"":1.0}",0.803090,0.065946,compression,0.999972,"{""haze_fog"":0.145195,""rain"":0.002223,""snow"":0.007852,""low_light"":0.0,""motion_blur"":0.026731,""defocus_blur"":0.042095,""glare_flare"":0.004737,""vignetting"":2.1e-05,""sensor_noise"":0.032228,""exposure_shift"":0.994064,""compression"":0.999972,""lens_occlusion"":0.044497}","{""haze_fog"":0.142819,""rain"":0.355985,""snow"":0.185309,""low_light"":0.028511,""motion_blur"":0.086908,""defocus_blur"":0.172255,""glare_flare"":0.181019,""vignetting"":0.028938,""sensor_noise"":0.066394,""exposure_shift"":0.513795,""compression"":0.599002,""lens_occlusion"":0.145155}","[{""issue"":""compression"",""prob"":0.999972},{""issue"":""exposure_shift"",""prob"":0.994064}]"
S01_fog_s3,S01,video_018,dev,corrupted,fog,3,s3,0.35,0,-1.0,cloudy,day,urban,moderate,30,1280x720,128,corrupted/fog/s3/S01_fog_s3.mp4,"{""mask_mean"":0.3416440784931183,""severity"":0.35,""k"":1.22,""gamma"":0.7,""depth_shift"":0.3,""distance_exp"":1.5,""t_min"":0.25,""contrast_scale"":0.95,""darken_factor"":0.88,""blur_kernel"":5,""A"":[0.4536339044570923,0.47750934958457947,0.5013848543167114],""depth_min"":0.0,""depth_max"":1.0}",0.621254,0.056882,compression,0.999970,"{""haze_fog"":0.187995,""rain"":0.002559,""snow"":0.008435,""low_light"":0.0,""motion_blur"":0.028845,""defocus_blur"":0.044554,""glare_flare"":0.004828,""vignetting"":4.1e-05,""sensor_noise"":0.044211,""exposure_shift"":0.994953,""compression"":0.99997,""lens_occlusion"":0.022684}","{""haze_fog"":0.159759,""rain"":0.362383,""snow"":0.176153,""low_light"":0.033018,""motion_blur"":0.090766,""defocus_blur"":0.169757,""glare_flare"":0.181474,""vignetting"":0.035033,""sensor_noise"":0.068711,""exposure_shift"":0.551851,""compression"":0.602038,""lens_occlusion"":0.137053}","[{""issue"":""compression"",""prob"":0.99997},{""issue"":""exposure_shift"",""prob"":0.994953}]"
S01_fog_s4,S01,video_018,dev,corrupted,fog,4,s4,0.55,0,-1.0,cloudy,day,urban,moderate,30,1280x720,128,corrupted/fog/s4/S01_fog_s4.mp4,"{""mask_mean"":0.38867804408073425,""severity"":0.55,""k"":1.46,""gamma"":0.7,""depth_shift"":0.3,""distance_exp"":1.5,""t_min"":0.25,""contrast_scale"":0.95,""darken_factor"":0.88,""blur_kernel"":5,""A"":[0.488280326128006,0.5139793157577515,0.5396782755851746],""depth_min"":0.0,""depth_max"":1.0}",0.413809,0.048696,compression,0.999972,"{""haze_fog"":0.394323,""rain"":0.003005,""snow"":0.003102,""low_light"":0.0,""motion_blur"":0.025932,""defocus_blur"":0.04279,""glare_flare"":0.004802,""vignetting"":5.7e-05,""sensor_noise"":0.007605,""exposure_shift"":0.993497,""compression"":0.999972,""lens_occlusion"":0.018536}","{""haze_fog"":0.179002,""rain"":0.381184,""snow"":0.18922,""low_light"":0.037308,""motion_blur"":0.08421,""defocus_blur"":0.16915,""glare_flare"":0.180668,""vignetting"":0.042251,""sensor_noise"":0.06946,""exposure_shift"":0.563983,""compression"":0.603299,""lens_occlusion"":0.132714}","[{""issue"":""compression"",""prob"":0.999972},{""issue"":""exposure_shift"",""prob"":0.993497},{""issue"":""haze_fog"",""prob"":0.394323}]"
S01_fog_s5,S01,video_018,dev,corrupted,fog,5,s5,0.75,0,-1.0,cloudy,day,urban,moderate,30,1280x720,128,corrupted/fog/s5/S01_fog_s5.mp4,"{""mask_mean"":0.4307841658592224,""severity"":0.75,""k"":1.7,""gamma"":0.7,""depth_shift"":0.3,""distance_exp"":1.5,""t_min"":0.25,""contrast_scale"":0.95,""darken_factor"":0.88,""blur_kernel"":5,""A"":[0.45277199149131775,0.47660207748413086,0.5004321932792664],""depth_min"":0.0,""depth_max"":1.0}",0.216134,0.043928,compression,0.999967,"{""haze_fog"":0.584908,""rain"":0.004044,""snow"":0.002115,""low_light"":0.0,""motion_blur"":0.013034,""defocus_blur"":0.045603,""glare_flare"":0.003733,""vignetting"":0.000123,""sensor_noise"":0.023898,""exposure_shift"":0.989263,""compression"":0.999967,""lens_occlusion"":0.013962}","{""haze_fog"":0.210314,""rain"":0.397542,""snow"":0.19378,""low_light"":0.04335,""motion_blur"":0.082916,""defocus_blur"":0.178212,""glare_flare"":0.181136,""vignetting"":0.042496,""sensor_noise"":0.076016,""exposure_shift"":0.578331,""compression"":0.598019,""lens_occlusion"":0.130177}","[{""issue"":""compression"",""prob"":0.999967},{""issue"":""exposure_shift"",""prob"":0.989263},{""issue"":""haze_fog"",""prob"":0.584908}]"
S01_rain_s1,S01,video_018,dev,corrupted,rain,1,s1,0.08,0,-1.0,cloudy,day,urban,moderate,30,1280x720,128,corrupted/rain/s1/S01_rain_s1.mp4,"{""mask_mean"":0.009547533467411995,""severity"":0.08,""alpha"":0.09092485790751884,""eta"":0.6542909190864145,""depth_separation_exp"":1.6,""density"":0.0015317255393101237,""density_far"":0.0009956216005515804,""density_near"":0.0005361039387585432,""base_angle_deg"":74.25109874025574,""far_angle_deg"":79.06597361225565,""near_angle_deg"":71.84394773760287,""blur_sigma"":0.28566132197529653,""invert_depth"":false,""multilayer"":true,""rainy_tone"":true,""apply_rain_haze"":true,""rain_haze_strength"":0.041999999999999996,""apply_overcast_sky"":true,""overcast_mask_mean"":0.11159192025661469,""extra_desat"":0.0048,""patchiness"":true,""brightness_randomness"":false,""apply_visibility_blur"":false,""visibility_blur_sigma"":0.0,""device"":""cuda""}",0.925000,0.231610,compression,0.999967,"{""haze_fog"":0.140014,""rain"":0.008311,""snow"":0.343325,""low_light"":1e-06,""motion_blur"":0.0,""defocus_blur"":0.004391,""glare_flare"":0.169283,""vignetting"":0.000404,""sensor_noise"":0.0,""exposure_shift"":0.998126,""compression"":0.999967,""lens_occlusion"":0.026533}","{""haze_fog"":0.088416,""rain"":0.158844,""snow"":0.086653,""low_light"":0.045957,""motion_blur"":0.004796,""defocus_blur"":0.008544,""glare_flare"":0.370983,""vignetting"":0.114689,""sensor_noise"":0.003373,""exposure_shift"":0.338689,""compression"":0.041104,""lens_occlusion"":0.153844}","[{""issue"":""compression"",""prob"":0.999967},{""issue"":""exposure_shift"",""prob"":0.998126},{""issue"":""snow"",""prob"":0.343325}]"
S01_rain_s2,S01,video_018,dev,corrupted,rain,2,s2,0.18,0,-1.0,cloudy,day,urban,moderate,30,1280x720,128,corrupted/rain/s2/S01_rain_s2.mp4,"{""mask_mean"":0.0176385510712862,""severity"":0.18,""alpha"":0.11028430939117548,""eta"":0.8166348190096908,""depth_separation_exp"":1.6,""density"":0.0023127742377803007,""density_far"":0.0015033032545571955,""density_near"":0.0008094709832231052,""base_angle_deg"":80.07700436319203,""far_angle_deg"":81.38885639202219,""near_angle_deg"":81.83972858578731,""blur_sigma"":0.3695279431128541,""invert_depth"":false,""multilayer"":true,""rainy_tone"":true,""apply_rain_haze"":true,""rain_haze_strength"":0.056999999999999995,""apply_overcast_sky"":true,""overcast_mask_mean"":0.11159192025661469,""extra_desat"":0.010799999999999999,""patchiness"":true,""brightness_randomness"":false,""apply_visibility_blur"":false,""visibility_blur_sigma"":0.0,""device"":""cuda""}",0.830646,0.218838,compression,0.999978,"{""haze_fog"":0.154862,""rain"":0.005957,""snow"":0.428602,""low_light"":2e-06,""motion_blur"":0.0,""defocus_blur"":0.003916,""glare_flare"":0.096933,""vignetting"":0.001461,""sensor_noise"":0.0,""exposure_shift"":0.998749,""compression"":0.999978,""lens_occlusion"":0.041961}","{""haze_fog"":0.085201,""rain"":0.168453,""snow"":0.1252,""low_light"":0.061029,""motion_blur"":0.004156,""defocus_blur"":0.008537,""glare_flare"":0.332287,""vignetting"":0.12526,""sensor_noise"":0.007435,""exposure_shift"":0.360834,""compression"":0.040174,""lens_occlusion"":0.14208}","[{""issue"":""compression"",""prob"":0.999978},{""issue"":""exposure_shift"",""prob"":0.998749},{""issue"":""snow"",""prob"":0.428602}]"
S01_rain_s3,S01,video_018,dev,corrupted,rain,3,s3,0.35,0,-1.0,cloudy,day,urban,moderate,30,1280x720,128,corrupted/rain/s3/S01_rain_s3.mp4,"{""mask_mean"":0.030057445168495178,""severity"":0.35,""alpha"":0.14356303854523822,""eta"":1.0742747817059444,""depth_separation_exp"":1.6,""density"":0.0035686528662874097,""density_far"":0.0023196243630868164,""density_near"":0.0012490285032005933,""base_angle_deg"":80.62163572542605,""far_angle_deg"":79.56380538669671,""near_angle_deg"":78.28237143577732,""blur_sigma"":0.43467084078082713,""invert_depth"":false,""multilayer"":true,""rainy_tone"":true,""apply_rain_haze"":true,""rain_haze_strength"":0.08249999999999999,""apply_overcast_sky"":true,""overcast_mask_mean"":0.11159192025661469,""extra_desat"":0.020999999999999998,""patchiness"":true,""brightness_randomness"":false,""apply_visibility_blur"":false,""visibility_blur_sigma"":0.0,""device"":""cuda""}",0.668458,0.196430,compression,0.999992,"{""haze_fog"":0.207395,""rain"":0.00444,""snow"":0.60966,""low_light"":0.000148,""motion_blur"":0.0,""defocus_blur"":0.002591,""glare_flare"":0.077631,""vignetting"":0.002985,""sensor_noise"":1e-06,""exposure_shift"":0.998601,""compression"":0.999992,""lens_occlusion"":0.029453}","{""haze_fog"":0.076363,""rain"":0.187113,""snow"":0.206228,""low_light"":0.079887,""motion_blur"":0.00267,""defocus_blur"":0.007572,""glare_flare"":0.322605,""vignetting"":0.123605,""sensor_noise"":0.015395,""exposure_shift"":0.364449,""compression"":0.03028,""lens_occlusion"":0.10693}","[{""issue"":""compression"",""prob"":0.999992},{""issue"":""exposure_shift"",""prob"":0.998601},{""issue"":""snow"",""prob"":0.60966}]"
S01_rain_s4,S01,video_018,dev,corrupted,rain,4,s4,0.55,0,-1.0,cloudy,day,urban,moderate,30,1280x720,128,corrupted/rain/s4/S01_rain_s4.mp4,"{""mask_mean"":0.05991230905056,""severity"":0.55,""alpha"":0.20177657805337604,""eta"":1.332146822566079,""depth_separation_exp"":1.6,""density"":0.005078490659876999,""density_far"":0.0033010189289200496,""density_near"":0.0017774717309569496,""base_angle_deg"":80.5414186181184,""far_angle_deg"":87.90108742501762,""near_angle_deg"":80.34755452703354,""blur_sigma"":0.5691992754565904,""invert_depth"":false,""multilayer"":true,""rainy_tone"":true,""apply_rain_haze"":true,""rain_haze_strength"":0.1125,""apply_overcast_sky"":true,""overcast_mask_mean"":0.11159192025661469,""extra_desat"":0.033,""patchiness"":true,""brightness_randomness"":false,""apply_visibility_blur"":false,""visibility_blur_sigma"":0.0,""device"":""cuda""}",0.473973,0.158101,compression,0.999995,"{""haze_fog"":0.296838,""rain"":0.029713,""snow"":0.671017,""low_light"":0.001739,""motion_blur"":0.0,""defocus_blur"":0.001994,""glare_flare"":0.059419,""vignetting"":0.010548,""sensor_noise"":5e-06,""exposure_shift"":0.991362,""compression"":0.999995,""lens_occlusion"":0.028256}","{""haze_fog"":0.06734,""rain"":0.267106,""snow"":0.37755,""low_light"":0.128034,""motion_blur"":0.001844,""defocus_blur"":0.007775,""glare_flare"":0.325066,""vignetting"":0.122262,""sensor_noise"":0.016436,""exposure_shift"":0.310877,""compression"":0.022801,""lens_occlusion"":0.084877}","[{""issue"":""compression"",""prob"":0.999995},{""issue"":""exposure_shift"",""prob"":0.991362},{""issue"":""snow"",""prob"":0.671017},{""issue"":""haze_fog"",""prob"":0.296838}]"
